Participant Email,Event Title,Event Date
Stephanie.Vasquez@testDomain.com,Electric Motors,2021-04-27 12:00:00
Travis.Myers@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Travis.Myers@testDomain.com,Electric Motors,2021-04-27 12:00:00
Travis.Myers@testDomain.com,Intro to BME,2021-02-16 12:00:00
Theresa.Graves@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Karen.Leonard@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Karen.Leonard@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Karen.Leonard@testDomain.com,Electric Motors,2021-04-27 12:00:00
Karen.Leonard@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Steven.Clark@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Steven.Clark@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Denise.Johnson@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Erika.Frazier@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Erika.Frazier@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Erika.Frazier@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Erika.Frazier@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Kevin.White@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Kevin.White@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Kevin.White@testDomain.com,Intro to BME,2021-02-16 12:00:00
Courtney.Moyer@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Stephanie.Hopkins@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Stephanie.Hopkins@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Stephanie.Hopkins@testDomain.com,Intro to BME,2021-02-16 12:00:00
George.Graham@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
George.Graham@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
George.Graham@testDomain.com,Intro to BME,2021-02-16 12:00:00
Sheryl.Vasquez@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Kathryn.Allen@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Kathryn.Allen@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Kathryn.Allen@testDomain.com,Electric Motors,2021-04-27 12:00:00
Kathryn.Allen@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Andrea.Poole@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Andrea.Poole@testDomain.com,Electric Motors,2021-04-27 12:00:00
Robert.Lane@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Robert.Lane@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Robert.Lane@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Robert.Lane@testDomain.com,Intro to BME,2021-02-16 12:00:00
Martin.Rowland@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Martin.Rowland@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Martin.Rowland@testDomain.com,Electric Motors,2021-04-27 12:00:00
Martin.Rowland@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Martin.Rowland@testDomain.com,Intro to BME,2021-02-16 12:00:00
Sheri.Escobar@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Monica.Smith@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Monica.Smith@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Monica.Smith@testDomain.com,Intro to BME,2021-02-16 12:00:00
Susan.Nguyen@testDomain.com,Electric Motors,2021-04-27 12:00:00
Kelly.Reese@testDomain.com,Electric Motors,2021-04-27 12:00:00
Kelly.Reese@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Kelly.Reese@testDomain.com,Intro to BME,2021-02-16 12:00:00
Mrs..Kristen@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Diane.Cook@testDomain.com,Intro to BME,2021-02-16 12:00:00
Pamela.Castillo@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Pamela.Castillo@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Thomas.Anderson@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Thomas.Anderson@testDomain.com,Electric Motors,2021-04-27 12:00:00
Charles.Merritt@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Thomas.Reid@testDomain.com,Intro to BME,2021-02-16 12:00:00
Adam.Johnson@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Adam.Johnson@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Adam.Johnson@testDomain.com,Electric Motors,2021-04-27 12:00:00
Adam.Johnson@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Dana.Santos@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Dana.Santos@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Dana.Santos@testDomain.com,Intro to BME,2021-02-16 12:00:00
Mike.Gray@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Ryan.Newman@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Ryan.Newman@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Ryan.Newman@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Mrs..Amanda@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Mrs..Amanda@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Mrs..Amanda@testDomain.com,Electric Motors,2021-04-27 12:00:00
Mrs..Amanda@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Crystal.Johnson@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Crystal.Johnson@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Crystal.Johnson@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Crystal.Johnson@testDomain.com,Intro to BME,2021-02-16 12:00:00
Susan.Meza@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Susan.Meza@testDomain.com,Intro to BME,2021-02-16 12:00:00
Michael.Barajas@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
James.Duncan@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
James.Duncan@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
James.Duncan@testDomain.com,Electric Motors,2021-04-27 12:00:00
Laura.Nguyen@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Laura.Nguyen@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Laura.Nguyen@testDomain.com,Electric Motors,2021-04-27 12:00:00
Laura.Nguyen@testDomain.com,Intro to BME,2021-02-16 12:00:00
Paul.Medina@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Scott.Wilkinson@testDomain.com,Electric Motors,2021-04-27 12:00:00
Kelly.Gay@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
John.Barnes@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
John.Barnes@testDomain.com,Electric Motors,2021-04-27 12:00:00
Haley.Mclean@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Tracey.Bender@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Tracey.Bender@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Jeremy.Carlson@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Jeremy.Carlson@testDomain.com,Electric Motors,2021-04-27 12:00:00
Jeremy.Carlson@testDomain.com,Intro to BME,2021-02-16 12:00:00
Brianna.Strong@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Brianna.Strong@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Brianna.Strong@testDomain.com,Electric Motors,2021-04-27 12:00:00
Melissa.Norton@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Melissa.Norton@testDomain.com,Electric Motors,2021-04-27 12:00:00
Melissa.Norton@testDomain.com,Intro to BME,2021-02-16 12:00:00
Vanessa.Butler@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Vanessa.Butler@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Vanessa.Butler@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Robert.Downs@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Robert.Downs@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Robert.Downs@testDomain.com,Intro to BME,2021-02-16 12:00:00
Kyle.Shelton@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Kyle.Shelton@testDomain.com,Intro to BME,2021-02-16 12:00:00
Christina.Sandoval@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Christina.Sandoval@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Christina.Sandoval@testDomain.com,Electric Motors,2021-04-27 12:00:00
Christina.Sandoval@testDomain.com,Intro to BME,2021-02-16 12:00:00
Andrea.Brewer@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Andrea.Brewer@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Phillip.Lara@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Phillip.Lara@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Phillip.Lara@testDomain.com,Electric Motors,2021-04-27 12:00:00
Phillip.Lara@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Steven.Roach@testDomain.com,Intro to BME,2021-02-16 12:00:00
Gail.Vasquez@testDomain.com,Electric Motors,2021-04-27 12:00:00
Gail.Vasquez@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Amber.Hardy@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Amber.Hardy@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Amber.Hardy@testDomain.com,Intro to BME,2021-02-16 12:00:00
Mr..Joe@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Mr..Joe@testDomain.com,Electric Motors,2021-04-27 12:00:00
Mr..Joe@testDomain.com,Intro to BME,2021-02-16 12:00:00
Holly.Hoover@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Holly.Hoover@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Holly.Hoover@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Holly.Hoover@testDomain.com,Intro to BME,2021-02-16 12:00:00
Paul.Rivera@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Paul.Rivera@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Paul.Rivera@testDomain.com,Electric Motors,2021-04-27 12:00:00
Zachary.Ray@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
James.Horton@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
James.Horton@testDomain.com,Electric Motors,2021-04-27 12:00:00
James.Horton@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
James.Horton@testDomain.com,Intro to BME,2021-02-16 12:00:00
Joseph.Taylor@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Joseph.Taylor@testDomain.com,Intro to BME,2021-02-16 12:00:00
Briana.Adkins@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Briana.Adkins@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Lorraine.Reynolds@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Lorraine.Reynolds@testDomain.com,Intro to BME,2021-02-16 12:00:00
Samantha.Coleman@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Samantha.Coleman@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Melanie.Joseph@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Alexandria.Wade@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Alexandria.Wade@testDomain.com,Electric Motors,2021-04-27 12:00:00
Alexandria.Wade@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Catherine.Willis@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Catherine.Willis@testDomain.com,Electric Motors,2021-04-27 12:00:00
Catherine.Willis@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Kaitlin.Mclaughlin@testDomain.com,Electric Motors,2021-04-27 12:00:00
Kaitlin.Mclaughlin@testDomain.com,Intro to BME,2021-02-16 12:00:00
Andrew.Smith@testDomain.com,Electric Motors,2021-04-27 12:00:00
Andrew.Smith@testDomain.com,Intro to BME,2021-02-16 12:00:00
Dakota.Cross@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Lindsey.Williams@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Lindsey.Williams@testDomain.com,Electric Motors,2021-04-27 12:00:00
Lindsey.Williams@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Lindsey.Williams@testDomain.com,Intro to BME,2021-02-16 12:00:00
Joseph.Huynh@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Joseph.Huynh@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Joseph.Huynh@testDomain.com,Intro to BME,2021-02-16 12:00:00
Bruce.Obrien@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Bruce.Obrien@testDomain.com,Electric Motors,2021-04-27 12:00:00
Bruce.Obrien@testDomain.com,Intro to BME,2021-02-16 12:00:00
Kevin.Graham@testDomain.com,Electric Motors,2021-04-27 12:00:00
Kevin.Graham@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Kevin.Graham@testDomain.com,Intro to BME,2021-02-16 12:00:00
James.Morales@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Dr..Kimberly@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Taylor.Hutchinson@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Joseph.Miller@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Brianna.Flynn@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Brianna.Flynn@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Brianna.Flynn@testDomain.com,Intro to BME,2021-02-16 12:00:00
Mr..Michael@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Mr..Michael@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Mr..Michael@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Mr..Michael@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Morgan.White@testDomain.com,Electric Motors,2021-04-27 12:00:00
Eric.Singh@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Eric.Singh@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Peter.Patterson@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Peter.Patterson@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Peter.Patterson@testDomain.com,Electric Motors,2021-04-27 12:00:00
Peter.Patterson@testDomain.com,Intro to BME,2021-02-16 12:00:00
Alexis.Mayo@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Alexis.Mayo@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Alexis.Mayo@testDomain.com,Intro to BME,2021-02-16 12:00:00
Logan.Waller@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Logan.Waller@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Daniel.Johnson@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Daniel.Johnson@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Daniel.Johnson@testDomain.com,Intro to BME,2021-02-16 12:00:00
Patricia.Bryant@testDomain.com,Intro to BME,2021-02-16 12:00:00
Mark.Villa@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Mark.Villa@testDomain.com,Electric Motors,2021-04-27 12:00:00
Mark.Villa@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Kara.Ferguson@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Kara.Ferguson@testDomain.com,Electric Motors,2021-04-27 12:00:00
Madison.Moore@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Madison.Moore@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Madison.Moore@testDomain.com,Electric Motors,2021-04-27 12:00:00
Madison.Moore@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Jesus.Collins@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Jesus.Collins@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Jesus.Collins@testDomain.com,Intro to BME,2021-02-16 12:00:00
Johnathan.Bentley@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Johnathan.Bentley@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Victor.Torres@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
David.Williamson@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
David.Williamson@testDomain.com,Electric Motors,2021-04-27 12:00:00
David.Williamson@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
David.Williamson@testDomain.com,Intro to BME,2021-02-16 12:00:00
Tanner.Morris@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Tanner.Morris@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Tanner.Morris@testDomain.com,Electric Motors,2021-04-27 12:00:00
Curtis.Cervantes@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Curtis.Cervantes@testDomain.com,Electric Motors,2021-04-27 12:00:00
Curtis.Cervantes@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Michael.Wu@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Michael.Wu@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Michael.Wu@testDomain.com,Electric Motors,2021-04-27 12:00:00
Gail.Lopez@testDomain.com,Electric Motors,2021-04-27 12:00:00
Gail.Lopez@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Amanda.Potts@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Amanda.Potts@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Amanda.Potts@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Kelly.Sanders@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Kelly.Sanders@testDomain.com,Electric Motors,2021-04-27 12:00:00
Kelly.Sanders@testDomain.com,Intro to BME,2021-02-16 12:00:00
Mary.Oconnor@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Mary.Oconnor@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Mary.Oconnor@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Mary.Oconnor@testDomain.com,Intro to BME,2021-02-16 12:00:00
Jeremy.Castillo@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Jeremy.Castillo@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Jeremy.Castillo@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Rhonda.Jones@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Rhonda.Jones@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Rhonda.Jones@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Hailey.Brown@testDomain.com,Intro to BME,2021-02-16 12:00:00
Chad.Robinson@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Chad.Robinson@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Chad.Robinson@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Kenneth.Perez@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Kenneth.Perez@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Yesenia.King@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Thomas.Martinez@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Thomas.Martinez@testDomain.com,Intro to BME,2021-02-16 12:00:00
Daniel.Powell@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Daniel.Powell@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Daniel.Powell@testDomain.com,Electric Motors,2021-04-27 12:00:00
Daniel.Powell@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Wendy.Marks@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Mary.Gillespie@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Mary.Gillespie@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Mary.Gillespie@testDomain.com,Intro to BME,2021-02-16 12:00:00
Linda.Garrett@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Linda.Garrett@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Linda.Garrett@testDomain.com,Intro to BME,2021-02-16 12:00:00
John.Tanner@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
John.Tanner@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
John.Tanner@testDomain.com,Electric Motors,2021-04-27 12:00:00
John.Tanner@testDomain.com,Intro to BME,2021-02-16 12:00:00
Stephen.Lopez@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Stephen.Lopez@testDomain.com,Intro to BME,2021-02-16 12:00:00
Heather.Wilkerson@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Heather.Wilkerson@testDomain.com,IEEE Xtreme 15.0,2021-10-26 12:00:00
Heather.Wilkerson@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
Heather.Wilkerson@testDomain.com,Electric Motors,2021-04-27 12:00:00
Heather.Wilkerson@testDomain.com,How to get published with IEEE,2021-03-21 12:00:00
Steven.Bryant@testDomain.com,IEEE Day 2021,2021-10-05 12:00:00
Steven.Bryant@testDomain.com,Hashcode 2021,2021-02-25 12:00:00
