Member Id,First Name,Last Name,Email Id,Phone Number,IEEE Number,Status,Training Date,Generation,Registration Date,Deletion Date,Department,UniGrade,RegYearUni
14,Stephen,Underwood,Stephen.Underwood@testDomain.com,2803671975,96196159,0,2016-12-31,A,2011-08-12,Null,20,Undergraduate,2011-07-07
15,Lindsay,Lopez,Lindsay.Lopez@testDomain.com,1680176474,96196160,1,Null,Null,2012-09-17,Null,21,Undergraduate,2011-09-06
16,Chelsea,Weber,Chelsea.Weber@testDomain.com,6546901951,Null,0,2015-04-19,D,2014-12-28,Null,22,Undergraduate,2011-02-23
17,Megan,Dunn,Megan.Dunn@testDomain.com,7187779006,96196162,0,Null,Null,2017-02-08,Null,27,Undergraduate,2013-07-23
18,Danielle,Marks,Danielle.Marks@testDomain.com,7925956559,96196163,1,2020-03-02,D,2016-06-05,Null,19,Undergraduate,2014-04-04
19,Sandra,Long,Sandra.Long@testDomain.com,4134963463,96196164,0,Null,Null,2016-05-02,Null,22,Undergraduate,2011-12-08
20,Michelle,Willis,Michelle.Willis@testDomain.com,1040624187,Null,0,2017-12-28,D,2015-05-18,2019-08-08,19,Undergraduate,2015-04-09
21,Ashley,Bass,Ashley.Bass@testDomain.com,5713202368,96196166,1,Null,Null,2015-05-23,Null,22,Undergraduate,2014-02-19
22,Penny,Thompson,Penny.Thompson@testDomain.com,9090186043,96196167,0,2019-03-20,E,2018-12-14,Null,21,Postraduate,2018-08-23
23,Gary,Smith,Gary.Smith@testDomain.com,5163538912,96196168,0,Null,Null,2011-12-01,Null,25,Undergraduate,2011-09-27
24,Noah,Rosario,Noah.Rosario@testDomain.com,7233807867,Null,1,2020-12-19,C,2018-03-17,Null,25,Postraduate,2016-04-03
25,John,Taylor,John.Taylor@testDomain.com,1037725623,96196170,0,Null,Null,2018-08-16,Null,26,Undergraduate,2016-04-03
26,Kristin,Long,Kristin.Long@testDomain.com,5241279482,96196171,0,2020-12-12,G,2020-06-17,Null,19,Undergraduate,2013-12-09
27,Jason,Miller,Jason.Miller@testDomain.com,9188668109,96196172,1,Null,Null,2016-02-04,Null,21,Undergraduate,2012-09-12
28,Edward,Wilkinson,Edward.Wilkinson@testDomain.com,9912661014,Null,0,2020-07-07,B,2012-07-18,Null,27,Undergraduate,2012-06-23
29,Anne,Hicks,Anne.Hicks@testDomain.com,3373557089,96196174,0,Null,Null,2012-04-25,Null,24,Undergraduate,2011-07-28
30,Danny,Lewis,Danny.Lewis@testDomain.com,7030552327,96196175,1,2013-10-28,B,2011-07-09,Null,23,Undergraduate,2011-03-14
31,Eric,Brown,Eric.Brown@testDomain.com,6425822976,96196176,0,Null,Null,2019-10-28,Null,26,Undergraduate,2016-11-02
32,John,Young,John.Young@testDomain.com,5592273144,Null,0,2015-04-06,B,2013-03-31,Null,22,Undergraduate,2011-02-14
33,Craig,Madden,Craig.Madden@testDomain.com,4823588518,96196178,1,Null,Null,2014-09-01,Null,20,Undergraduate,2011-06-19
34,Caitlyn,Robinson,Caitlyn.Robinson@testDomain.com,8103995348,96196179,0,2020-11-16,D,2019-12-05,Null,23,Undergraduate,2012-10-22
35,Daniel,Decker,Daniel.Decker@testDomain.com,1592503805,96196180,0,Null,Null,2017-11-11,Null,21,Undergraduate,2016-07-19
36,Robert,Blanchard,Robert.Blanchard@testDomain.com,4031049723,Null,1,2020-06-27,B,2016-03-27,Null,19,Postraduate,2015-10-11
37,Breanna,Jones,Breanna.Jones@testDomain.com,6475784998,96196182,0,Null,Null,2020-01-08,Null,20,Undergraduate,2019-09-02
38,Amanda,Davis,Amanda.Davis@testDomain.com,4911286844,96196183,0,2019-12-03,D,2019-09-16,Null,25,Undergraduate,2011-04-07
39,Michele,Anderson,Michele.Anderson@testDomain.com,7029290578,96196184,1,Null,Null,2018-11-09,Null,24,Undergraduate,2016-06-19
40,Kyle,Cook,Kyle.Cook@testDomain.com,8134093640,Null,0,2018-09-06,F,2016-07-26,2020-12-09,22,Undergraduate,2012-04-22
41,Michael,Erickson,Michael.Erickson@testDomain.com,4750971024,96196186,0,Null,Null,2016-12-02,Null,19,Undergraduate,2016-09-26
42,Dana,Dominguez,Dana.Dominguez@testDomain.com,3906968609,96196187,1,2013-01-19,E,2011-04-10,Null,23,Undergraduate,2011-02-03
43,Kenneth,Turner,Kenneth.Turner@testDomain.com,3142472683,96196188,0,Null,Null,2017-06-10,Null,22,Undergraduate,2014-08-09
44,Catherine,Miller,Catherine.Miller@testDomain.com,6848999594,Null,0,2018-05-22,H,2016-12-17,Null,21,Undergraduate,2012-12-22
45,Courtney,Barnes,Courtney.Barnes@testDomain.com,9840041812,96196190,1,Null,Null,2018-05-19,Null,21,Undergraduate,2017-04-20
46,Garrett,Griffin,Garrett.Griffin@testDomain.com,5718463255,96196191,0,2018-04-14,E,2016-08-20,Null,26,Undergraduate,2011-03-01
47,Emily,Martinez,Emily.Martinez@testDomain.com,4032876142,96196192,0,Null,Null,2015-05-24,Null,20,Undergraduate,2015-02-01
48,Renee,Huffman,Renee.Huffman@testDomain.com,3647066724,Null,1,2014-04-18,C,2011-02-06,Null,27,Undergraduate,2011-01-16
49,James,Dunn,James.Dunn@testDomain.com,2418067079,96196194,0,Null,Null,2011-09-11,Null,27,Undergraduate,2011-06-27
50,Michael,Fry,Michael.Fry@testDomain.com,6379093083,96196195,0,2018-11-03,D,2015-09-23,2016-03-26,21,Undergraduate,2012-09-16
51,Dr.,Autumn,Dr..Autumn@testDomain.com,9430528107,96196196,1,Null,Null,2018-11-23,Null,21,Undergraduate,2018-02-14
52,Christopher,Hendricks,Christopher.Hendricks@testDomain.com,2416357635,Null,0,2020-08-09,A,2018-07-22,Null,24,Postraduate,2017-03-31
53,Tammy,Buchanan,Tammy.Buchanan@testDomain.com,5293772557,96196198,0,Null,Null,2011-10-26,Null,19,Undergraduate,2011-01-08
54,Tara,Riddle,Tara.Riddle@testDomain.com,6776806070,96196199,1,2015-04-20,H,2014-06-12,Null,20,Undergraduate,2013-11-18
55,Matthew,Turner,Matthew.Turner@testDomain.com,6447203880,96196200,0,Null,Null,2011-08-22,Null,25,Undergraduate,2011-07-07
56,Melvin,Diaz,Melvin.Diaz@testDomain.com,2419044071,Null,0,2020-11-22,H,2018-06-03,Null,25,Undergraduate,2012-10-05
57,Mrs.,Debra,Mrs..Debra@testDomain.com,6047570273,96196202,1,Null,Null,2019-06-10,Null,26,Undergraduate,2012-10-19
58,Deborah,Stone,Deborah.Stone@testDomain.com,9789989626,96196203,0,2014-09-12,H,2012-06-12,Null,27,Undergraduate,2011-04-05
59,Jason,Lee,Jason.Lee@testDomain.com,9648555533,96196204,0,Null,Null,2019-10-03,Null,27,Undergraduate,2018-03-24
60,Brad,Sloan,Brad.Sloan@testDomain.com,8407185098,Null,1,2018-03-14,D,2014-06-25,Null,19,Undergraduate,2014-01-28
61,Patrick,Hogan,Patrick.Hogan@testDomain.com,4941651022,96196206,0,Null,Null,2017-12-01,Null,23,Undergraduate,2011-02-15
62,David,Hanson,David.Hanson@testDomain.com,2349667704,96196207,0,2020-07-15,A,2017-04-06,Null,22,Undergraduate,2013-01-21
63,Kelli,Martin,Kelli.Martin@testDomain.com,8583953563,96196208,1,Null,Null,2015-05-04,Null,24,Undergraduate,2011-11-11
64,Brittany,Jones,Brittany.Jones@testDomain.com,6239832603,Null,0,2017-01-19,A,2013-12-15,Null,19,Undergraduate,2011-11-16
65,Susan,Long,Susan.Long@testDomain.com,8504073634,96196210,0,Null,Null,2014-05-06,Null,22,Undergraduate,2012-07-28
66,Rebecca,Palmer,Rebecca.Palmer@testDomain.com,5592008747,96196211,1,2019-05-05,C,2014-11-13,Null,24,Undergraduate,2013-03-27
67,Andrew,Escobar,Andrew.Escobar@testDomain.com,2484449261,96196212,0,Null,Null,2019-10-31,Null,24,Undergraduate,2019-06-21
68,Andrea,Hansen,Andrea.Hansen@testDomain.com,8629451004,Null,0,2016-07-02,D,2013-03-22,Null,26,Undergraduate,2012-07-14
69,Susan,Vazquez,Susan.Vazquez@testDomain.com,4373222844,96196214,1,Null,Null,2019-06-16,Null,19,Undergraduate,2018-03-24
70,Jose,Jones,Jose.Jones@testDomain.com,5613686868,96196215,0,2017-03-16,H,2011-12-27,2015-07-31,22,Undergraduate,2011-05-26
71,Jackson,Grant,Jackson.Grant@testDomain.com,7257414399,96196216,0,Null,Null,2020-11-06,Null,27,Undergraduate,2017-01-21
72,Tami,Herrera,Tami.Herrera@testDomain.com,9209798203,Null,1,2017-03-10,H,2015-08-04,Null,24,Undergraduate,2012-01-09
73,Aaron,Jenkins,Aaron.Jenkins@testDomain.com,6003666906,96196218,0,Null,Null,2014-11-30,Null,21,Undergraduate,2012-01-28
74,Sandra,Hendricks,Sandra.Hendricks@testDomain.com,2269826543,96196219,0,2020-02-29,F,2019-11-02,Null,24,Undergraduate,2011-05-15
75,Kenneth,Best,Kenneth.Best@testDomain.com,4591220537,96196220,1,Null,Null,2014-03-10,Null,22,Undergraduate,2011-05-13
76,Jocelyn,Bates,Jocelyn.Bates@testDomain.com,6931641782,Null,0,2015-10-19,D,2014-02-20,Null,22,Undergraduate,2011-01-10
77,Julia,Boyd,Julia.Boyd@testDomain.com,5854714572,96196222,0,Null,Null,2016-10-06,Null,19,Undergraduate,2013-03-13
78,John,Hayes,John.Hayes@testDomain.com,8667495110,96196223,1,2018-06-11,C,2011-07-19,Null,25,Undergraduate,2011-04-19
79,Joshua,Hobbs,Joshua.Hobbs@testDomain.com,6180698195,96196224,0,Null,Null,2014-08-18,Null,27,Undergraduate,2012-03-21
80,Michael,Cuevas,Michael.Cuevas@testDomain.com,2125182444,Null,0,2020-01-04,G,2019-06-04,2019-06-22,26,Postraduate,2016-07-07
81,Stephanie,Hobbs,Stephanie.Hobbs@testDomain.com,8872102835,96196226,1,Null,Null,2016-04-08,Null,26,Undergraduate,2015-09-15
82,Jessica,Romero,Jessica.Romero@testDomain.com,3438926809,96196227,0,2015-09-04,G,2012-11-27,Null,23,Undergraduate,2011-04-23
83,Anthony,Hess,Anthony.Hess@testDomain.com,7232766363,96196228,0,Null,Null,2017-02-12,Null,25,Undergraduate,2012-04-18
84,Shaun,Gutierrez,Shaun.Gutierrez@testDomain.com,8115998465,Null,1,2020-04-08,H,2019-05-06,Null,27,Postraduate,2016-06-30
85,Joshua,Johnston,Joshua.Johnston@testDomain.com,1183714259,96196230,0,Null,Null,2018-09-19,Null,23,Undergraduate,2014-12-29
86,Ashley,Salas,Ashley.Salas@testDomain.com,7620278662,96196231,0,2019-03-29,F,2013-11-05,Null,25,Undergraduate,2012-08-07
87,Jason,Garcia,Jason.Garcia@testDomain.com,2671674892,96196232,1,Null,Null,2015-12-30,Null,21,Undergraduate,2011-11-29
88,Taylor,Porter,Taylor.Porter@testDomain.com,3347469846,Null,0,2020-02-17,E,2013-03-12,Null,24,Undergraduate,2012-03-24
89,Marisa,Watkins,Marisa.Watkins@testDomain.com,7832436260,96196234,0,Null,Null,2015-08-07,Null,23,Undergraduate,2014-06-14
90,Joseph,Shaw,Joseph.Shaw@testDomain.com,3087439011,96196235,1,2020-08-15,H,2013-02-05,Null,27,Undergraduate,2011-01-16
91,Samantha,Rodriguez,Samantha.Rodriguez@testDomain.com,1598097755,96196236,0,Null,Null,2017-12-15,Null,19,Undergraduate,2016-10-10
92,Andrea,Moore,Andrea.Moore@testDomain.com,8552383381,Null,0,2021-01-05,G,2020-12-08,Null,21,Undergraduate,2011-12-27
93,Curtis,Robinson,Curtis.Robinson@testDomain.com,7680339823,96196238,1,Null,Null,2019-03-06,Null,24,Undergraduate,2014-01-29
94,Daniel,Carroll,Daniel.Carroll@testDomain.com,5748987254,96196239,0,2014-07-07,C,2012-07-03,Null,25,Undergraduate,2011-12-10
95,Jessica,Thomas,Jessica.Thomas@testDomain.com,4690526576,96196240,0,Null,Null,2013-02-20,Null,27,Undergraduate,2012-04-15
96,Raymond,Hull,Raymond.Hull@testDomain.com,8422460958,Null,1,2020-12-22,H,2020-12-08,Null,21,Postraduate,2017-12-13
97,Melissa,Gilbert,Melissa.Gilbert@testDomain.com,2267750347,96196242,0,Null,Null,2012-05-21,Null,21,Undergraduate,2011-01-20
98,Tiffany,Martin,Tiffany.Martin@testDomain.com,9993956785,96196243,0,2015-02-09,A,2015-02-08,Null,24,Undergraduate,2012-01-30
99,Robert,Espinoza,Robert.Espinoza@testDomain.com,6540320168,96196244,1,Null,Null,2011-09-12,Null,24,Undergraduate,2011-01-15
100,Amanda,Cox,Amanda.Cox@testDomain.com,3341309035,Null,0,2020-11-22,A,2018-11-13,2020-07-05,21,Undergraduate,2014-05-29
101,Jeff,Perez,Jeff.Perez@testDomain.com,2111254402,96196246,0,Null,Null,2016-11-17,Null,21,Undergraduate,2012-01-09
102,Dalton,Kelly,Dalton.Kelly@testDomain.com,9767053566,96196247,1,2020-09-05,B,2018-07-23,Null,27,Postraduate,2017-07-01
103,Matthew,Shields,Matthew.Shields@testDomain.com,2133929667,96196248,0,Null,Null,2018-12-07,Null,26,Undergraduate,2018-03-06
104,Melanie,Dunn,Melanie.Dunn@testDomain.com,3446024581,Null,0,2019-12-08,D,2015-11-09,Null,21,Undergraduate,2014-08-15
105,Steven,Conley,Steven.Conley@testDomain.com,8651248089,96196250,1,Null,Null,2014-11-26,Null,23,Undergraduate,2013-04-13
106,Rebecca,White,Rebecca.White@testDomain.com,9519994634,96196251,0,2020-07-09,G,2019-06-10,Null,26,Postraduate,2016-12-11
107,Kyle,Fletcher,Kyle.Fletcher@testDomain.com,4893898022,96196252,0,Null,Null,2017-11-22,Null,27,Undergraduate,2015-07-13
108,Christine,Reeves,Christine.Reeves@testDomain.com,7125565110,Null,1,2017-02-04,D,2014-07-10,Null,25,Undergraduate,2013-06-24
109,Glenn,Gibson,Glenn.Gibson@testDomain.com,1334384423,96196254,0,Null,Null,2020-05-18,Null,27,Undergraduate,2011-02-21
110,Jessica,Bishop,Jessica.Bishop@testDomain.com,6005810551,96196255,0,2018-10-23,E,2016-09-04,2020-07-25,26,Undergraduate,2011-02-07
111,Bryan,Hernandez,Bryan.Hernandez@testDomain.com,6844549566,96196256,1,Null,Null,2011-08-25,Null,25,Undergraduate,2011-06-21
112,Matthew,Fields,Matthew.Fields@testDomain.com,9288063212,Null,0,2011-06-04,G,2011-01-14,Null,27,Undergraduate,2011-01-09
113,Faith,Hernandez,Faith.Hernandez@testDomain.com,7505349854,96196258,0,Null,Null,2014-07-22,Null,24,Undergraduate,2011-05-19
114,Tamara,Dunlap,Tamara.Dunlap@testDomain.com,7867929208,96196259,1,2015-09-17,H,2012-11-26,Null,20,Undergraduate,2011-03-17
115,Kayla,Briggs,Kayla.Briggs@testDomain.com,7697061841,96196260,0,Null,Null,2014-01-04,Null,26,Undergraduate,2012-07-07
116,James,Hayes,James.Hayes@testDomain.com,3318488045,Null,0,2015-09-07,B,2014-03-22,Null,26,Undergraduate,2012-02-13
117,James,Eaton,James.Eaton@testDomain.com,2158415704,96196262,1,Null,Null,2020-12-15,Null,19,Undergraduate,2014-08-20
118,Pamela,Watson,Pamela.Watson@testDomain.com,5468063666,96196263,0,2017-12-18,G,2014-08-27,Null,24,Undergraduate,2014-01-31
119,Michael,Johnson,Michael.Johnson@testDomain.com,9434845935,96196264,0,Null,Null,2014-09-01,Null,27,Undergraduate,2013-08-12
120,Crystal,Hernandez,Crystal.Hernandez@testDomain.com,1050520945,Null,1,2013-07-19,F,2012-11-02,Null,20,Undergraduate,2012-02-09
121,Jeremy,Burke,Jeremy.Burke@testDomain.com,4002256139,96196266,0,Null,Null,2016-06-01,Null,22,Undergraduate,2016-02-10
122,Tabitha,Gillespie,Tabitha.Gillespie@testDomain.com,9169523590,96196267,0,2016-05-02,C,2016-01-13,Null,23,Undergraduate,2011-12-31
123,Joshua,Ashley,Joshua.Ashley@testDomain.com,1300400582,96196268,1,Null,Null,2019-07-23,Null,26,Undergraduate,2017-02-22
124,Matthew,Young,Matthew.Young@testDomain.com,9884350132,Null,0,2014-03-01,B,2011-09-13,Null,25,Undergraduate,2011-05-29
125,Charles,Lynn,Charles.Lynn@testDomain.com,3785730755,96196270,0,Null,Null,2015-09-07,Null,27,Undergraduate,2012-08-13
126,Misty,Green,Misty.Green@testDomain.com,3479265920,96196271,1,2013-12-24,A,2012-06-29,Null,23,Undergraduate,2011-10-02
127,Andrew,Perkins,Andrew.Perkins@testDomain.com,2172433252,96196272,0,Null,Null,2020-04-28,Null,20,Undergraduate,2014-08-03
128,Cody,Walls,Cody.Walls@testDomain.com,8194864799,Null,0,2020-11-22,E,2020-06-19,Null,26,Undergraduate,2013-07-11
129,Elizabeth,Foster,Elizabeth.Foster@testDomain.com,6378221821,96196274,1,Null,Null,2019-09-01,Null,21,Undergraduate,2012-11-10
130,Amber,Murphy,Amber.Murphy@testDomain.com,8856778128,96196275,0,2020-10-28,D,2018-12-10,2020-09-10,20,Postraduate,2017-07-13
131,Alyssa,Young,Alyssa.Young@testDomain.com,2469037560,96196276,0,Null,Null,2020-02-19,Null,20,Undergraduate,2011-10-29
132,Erica,Shields,Erica.Shields@testDomain.com,1125115481,Null,1,2020-04-11,H,2015-08-17,Null,23,Undergraduate,2011-10-17
133,Judith,Sawyer,Judith.Sawyer@testDomain.com,7348796177,96196278,0,Null,Null,2017-10-19,Null,24,Undergraduate,2014-02-18
134,Ann,Johnson,Ann.Johnson@testDomain.com,4863786137,96196279,0,2019-07-29,F,2014-03-07,Null,22,Undergraduate,2013-12-26
135,Melissa,Garcia,Melissa.Garcia@testDomain.com,1360365890,96196280,1,Null,Null,2012-01-04,Null,26,Undergraduate,2011-06-09
136,Joann,Padilla,Joann.Padilla@testDomain.com,9053717466,Null,0,2020-11-29,A,2020-08-08,Null,19,Undergraduate,2012-08-22
137,Larry,Watts,Larry.Watts@testDomain.com,9044259153,96196282,0,Null,Null,2017-08-15,Null,22,Undergraduate,2011-08-10
138,Troy,Walker,Troy.Walker@testDomain.com,7292262524,96196283,1,2017-12-25,H,2014-06-26,Null,21,Undergraduate,2013-08-17
139,Michael,Carpenter,Michael.Carpenter@testDomain.com,9909240309,96196284,0,Null,Null,2018-02-26,Null,20,Undergraduate,2013-05-02
140,Dr.,Joyce,Dr..Joyce@testDomain.com,3690165586,Null,0,2015-07-10,D,2014-07-31,2017-12-04,19,Undergraduate,2011-02-20
141,Linda,Andrews,Linda.Andrews@testDomain.com,9828414768,96196286,1,Null,Null,2014-04-01,Null,27,Undergraduate,2012-12-23
142,Laura,Jones,Laura.Jones@testDomain.com,6612296462,96196287,0,2019-11-09,D,2012-11-19,Null,25,Undergraduate,2012-05-10
143,Steven,Tanner,Steven.Tanner@testDomain.com,6029715037,96196288,0,Null,Null,2019-08-30,Null,25,Undergraduate,2011-06-14
144,Stacey,Wilson,Stacey.Wilson@testDomain.com,2545452024,Null,1,2020-06-21,B,2019-07-29,Null,21,Undergraduate,2013-03-25
145,Danielle,Gross,Danielle.Gross@testDomain.com,7636388397,96196290,0,Null,Null,2012-11-09,Null,25,Undergraduate,2012-03-10
146,Michael,Carrillo,Michael.Carrillo@testDomain.com,6357287707,96196291,0,2014-04-30,G,2011-02-01,Null,19,Undergraduate,2011-01-31
147,Brian,Villegas,Brian.Villegas@testDomain.com,5380541302,96196292,1,Null,Null,2016-12-15,Null,19,Undergraduate,2011-10-14
148,Lauren,Maddox,Lauren.Maddox@testDomain.com,3078308599,Null,0,2016-07-18,F,2015-05-18,Null,20,Undergraduate,2012-06-17
149,Michael,Thompson,Michael.Thompson@testDomain.com,6277496667,96196294,0,Null,Null,2014-08-18,Null,27,Undergraduate,2013-04-28
150,John,Horton,John.Horton@testDomain.com,1228530438,96196295,1,2017-06-13,H,2015-12-08,Null,27,Undergraduate,2013-01-25
151,Sandra,Estrada,Sandra.Estrada@testDomain.com,3041796212,96196296,0,Null,Null,2011-05-24,Null,24,Undergraduate,2011-01-22
152,Lisa,Martin,Lisa.Martin@testDomain.com,8995193550,Null,0,2020-11-18,C,2020-08-18,Null,24,Undergraduate,2015-03-22
153,Jose,Ayers,Jose.Ayers@testDomain.com,7084371635,96196298,1,Null,Null,2011-11-04,Null,20,Undergraduate,2011-03-18
154,Miss,Judith,Miss.Judith@testDomain.com,6515024165,96196299,0,2019-11-09,E,2018-09-20,Null,27,Postraduate,2018-05-28
155,Elaine,Stewart,Elaine.Stewart@testDomain.com,3132014158,96196300,0,Null,Null,2015-12-20,Null,22,Undergraduate,2012-02-25
156,Daniel,Smith,Daniel.Smith@testDomain.com,2346226598,Null,1,2020-11-14,B,2020-04-20,Null,26,Postraduate,2016-01-04
157,Lindsay,Carroll,Lindsay.Carroll@testDomain.com,9384807411,96196302,0,Null,Null,2015-11-30,Null,23,Undergraduate,2012-04-29
158,Calvin,Jones,Calvin.Jones@testDomain.com,4437167925,96196303,0,2017-01-11,F,2016-08-08,Null,24,Undergraduate,2012-10-12
159,Sergio,Robertson,Sergio.Robertson@testDomain.com,3691025092,96196304,1,Null,Null,2020-11-03,Null,24,Undergraduate,2011-03-08
160,Wendy,Martin,Wendy.Martin@testDomain.com,7452233843,Null,0,2015-04-05,D,2012-11-28,2018-02-20,26,Undergraduate,2011-03-26
161,Lauren,Morrison,Lauren.Morrison@testDomain.com,5290693793,96196306,0,Null,Null,2016-05-30,Null,24,Undergraduate,2012-08-26
162,Kevin,Baker,Kevin.Baker@testDomain.com,9514250694,96196307,1,2019-05-15,H,2017-10-08,Null,26,Undergraduate,2015-09-21
163,Jeffrey,Carter,Jeffrey.Carter@testDomain.com,6855770741,96196308,0,Null,Null,2014-07-02,Null,23,Undergraduate,2012-10-16
164,Timothy,Mendoza,Timothy.Mendoza@testDomain.com,8148354444,Null,0,2019-08-09,G,2018-01-09,Null,27,Undergraduate,2011-04-07
165,James,Nunez,James.Nunez@testDomain.com,1287883004,96196310,1,Null,Null,2013-09-19,Null,24,Undergraduate,2012-07-07
166,Dorothy,Brown,Dorothy.Brown@testDomain.com,9283659856,96196311,0,2017-01-17,E,2015-06-21,Null,22,Undergraduate,2012-02-19
167,Susan,Sharp,Susan.Sharp@testDomain.com,7908733201,96196312,0,Null,Null,2020-07-11,Null,27,Undergraduate,2016-11-13
168,Zachary,Daniels,Zachary.Daniels@testDomain.com,9679974632,Null,1,2020-11-19,G,2020-10-21,Null,19,Undergraduate,2011-09-30
169,Kari,Mcgee,Kari.Mcgee@testDomain.com,1404516304,96196314,0,Null,Null,2018-12-18,Null,20,Undergraduate,2016-11-16
170,Courtney,Roberts,Courtney.Roberts@testDomain.com,6319898211,96196315,0,2020-11-17,H,2014-08-16,2015-04-02,27,Undergraduate,2011-04-17
171,Robert,Gibson,Robert.Gibson@testDomain.com,7638508005,96196316,1,Null,Null,2017-04-23,Null,25,Undergraduate,2016-08-19
172,Brad,Franklin,Brad.Franklin@testDomain.com,7030015457,Null,0,2016-01-12,H,2011-05-30,Null,23,Undergraduate,2011-04-24
173,Derek,Miller,Derek.Miller@testDomain.com,7736160965,96196318,0,Null,Null,2018-09-28,Null,22,Undergraduate,2013-05-20
174,Nathan,Brown,Nathan.Brown@testDomain.com,8717730019,96196319,1,2020-10-14,F,2020-06-04,Null,25,Postraduate,2019-12-02
175,Miguel,Myers,Miguel.Myers@testDomain.com,5948383177,96196320,0,Null,Null,2015-01-08,Null,27,Undergraduate,2011-12-15
176,Robert,Mason,Robert.Mason@testDomain.com,1543745924,Null,0,2015-02-25,F,2014-07-17,Null,21,Undergraduate,2012-10-13
177,Paul,Phillips,Paul.Phillips@testDomain.com,5719323595,96196322,1,Null,Null,2011-10-11,Null,21,Undergraduate,2011-02-20
178,Christopher,Long,Christopher.Long@testDomain.com,1799674031,96196323,0,2020-05-14,H,2015-11-20,Null,22,Undergraduate,2015-03-11
179,Joseph,Simon,Joseph.Simon@testDomain.com,5615061747,96196324,0,Null,Null,2012-07-30,Null,26,Undergraduate,2011-12-23
180,Becky,Thomas,Becky.Thomas@testDomain.com,5123582468,Null,1,2020-02-08,G,2015-10-08,Null,24,Undergraduate,2012-12-13
181,Amanda,Perez,Amanda.Perez@testDomain.com,2240207278,96196326,0,Null,Null,2015-03-15,Null,24,Undergraduate,2011-05-24
182,Patricia,Miller,Patricia.Miller@testDomain.com,4073669085,96196327,0,2016-05-22,B,2014-05-19,Null,27,Undergraduate,2013-09-12
183,Don,Allen,Don.Allen@testDomain.com,2228843843,96196328,1,Null,Null,2014-07-01,Null,25,Undergraduate,2012-06-08
184,Jason,Hall,Jason.Hall@testDomain.com,1515981377,Null,0,2014-10-21,G,2013-09-23,Null,23,Undergraduate,2011-08-02
185,Joshua,Levine,Joshua.Levine@testDomain.com,4817613096,96196330,0,Null,Null,2013-11-28,Null,26,Undergraduate,2012-11-23
186,John,Allen,John.Allen@testDomain.com,8644101497,96196331,1,2019-11-04,B,2017-11-22,Null,19,Undergraduate,2012-04-10
187,Stephanie,Carson,Stephanie.Carson@testDomain.com,1397040313,96196332,0,Null,Null,2018-04-25,Null,25,Undergraduate,2016-03-10
188,Jack,Tanner,Jack.Tanner@testDomain.com,9818956143,Null,0,2018-04-02,B,2017-07-15,Null,20,Postraduate,2016-01-26
189,Matthew,Baker,Matthew.Baker@testDomain.com,7700820736,96196334,1,Null,Null,2020-06-06,Null,27,Undergraduate,2020-02-06
190,Amy,Warren,Amy.Warren@testDomain.com,3139103182,96196335,0,2016-04-28,C,2015-09-28,2018-07-04,22,Undergraduate,2012-05-06
191,Vincent,Hall,Vincent.Hall@testDomain.com,1885984988,96196336,0,Null,Null,2018-02-06,Null,23,Undergraduate,2014-02-05
192,Anthony,Ellison,Anthony.Ellison@testDomain.com,9308760751,Null,1,2020-09-15,F,2020-06-25,Null,21,Postraduate,2016-11-11
